Order Line Id,Pick Id,Order,Sku,Prod,Create Time,Pick State,State Change Time,Qty,Tm,Du,Unique Ref,Pick Task,Pick Task - Create Time,Stock,Order - Priority Band,Location,Lot,Tm - Location - Id,Pick Type,Emergency,Order Line Placed Time,Abandon Requested,Cancel Requested,Pick State Before Abandon Or Cancel,Packing Instructions,Prod - Colour,Retail Price,Currency,Host Delivery Id,Abandon Reason,Abandon Note,Cancel Reason,Unpick Reason,Rsvn Type,Pick Tm Type,Alert Str,Hazardous,Priority Time,Pick Time,Loc Pick Seq,Ordered Sku - Size,Du Build Failed,Seen In Order Message,Op Rsvn Order Pass Complete,Pick Stock Expectation State,Order - Pick Qty,Ordered Sku - Perishable,Order - Vas,Order - Vip
="1","284717391-1-000001",="284717391","241610F12803502","241610F12803502",2024-03-23 02:11:55,"RESERVED",2024-03-23 17:33:14,1,"LS00172947",="0000169347","","PT-000379303",2024-03-23 17:33:19,="364316","LOW","3H08B302",,"3H08B302","PICK",false,,false,false,"UNUSED","","Extra White/Matcha",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,140715,="37",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284728271-1-000001",="284728271","241011M23710012","241011M23710012",2024-03-23 03:00:57,"RESERVED",2024-03-23 08:11:38,1,"LS00172882",="0000169431","","PT-000378712",2024-03-23 11:11:28,="273653","LOW","3H05C409",,"3H05C409","PICK",false,,false,false,"UNUSED","","OIL GREEN/IRONSTONE-",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,1969-12-31 19:00:36,1411297,="13",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284728231-1-000001",="284728231","241264F12804303","241264F12804303",2024-03-23 03:00:58,"RESERVED",2024-03-23 08:11:35,1,"LS00172349",="0000169428","","PT-000378712",2024-03-23 11:11:28,="89037","LOW","3H02A404",,"3H02A404","PICK",false,,false,false,"UNUSED","","15544 Pearl/White",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,1969-12-31 19:00:36,1411698,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284730261-1-000001",="284730261","221278F12700102","221278F12700102",2024-03-23 03:40:49,"RESERVED",2024-03-23 08:11:38,1,"LS00175254",="0000169512","","PT-000379134",2024-03-23 15:52:29,="298940","LOW","3H28B320",,"3H28B320","PICK",false,,false,false,"UNUSED","","001 Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,142781,="36",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284730251-1-000001",="284730251","241232M23702205","241232M23702205",2024-03-23 03:40:54,"RESERVED",2024-03-23 08:11:32,1,"LS00173607",="0000169511","","PT-000379305",2024-03-23 17:36:43,="281265","LOW","3H12C419",,"3H12C419","PICK",false,,false,false,"UNUSED","","911 BLACK/MILK/MILK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,1410762,="41.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284730311-1-000001",="284730311","221264F12800403","221264F12800403",2024-03-23 03:50:44,"RESERVED",2024-03-23 08:11:38,1,"LS00173684",="0000169522","","PT-000378731",2024-03-23 11:21:18,="282280","LOW","3H13B404",,"3H13B404","PICK",false,,false,false,"UNUSED","","White/Silver",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,1410565,="37",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284731011-1-000001",="284731011","231296F11801211","231296F11801211",2024-03-23 04:14:47,"RESERVED",2024-03-23 08:11:27,1,"LS00172606",="0000169552","","PT-000379305",2024-03-23 17:36:43,="270797","LOW","3H03C421",,"3H03C421","PICK",false,,false,false,"UNUSED","","1429 Citron",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1411528,="40.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284638401-1-000001",="284638401","231799M23709904","231799M23709904",2024-03-22 06:10:51,"RESERVED",2024-03-23 17:24:44,1,"LS00172809",="0000163069","","PT-000379175",2024-03-23 16:18:57,="327204","URGENT","3H05B308",,"3H05B308","PICK",false,,false,false,"UNUSED","","BLACK/BLACK/WHITE",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-23 18:00:00,1969-12-31 19:00:36,140593,="7",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284716921-1-000001",="284716921","241837M23703303","241837M23703303",2024-03-23 02:01:51,"RESERVED",2024-03-23 08:11:33,1,"LS00172445",="0000169309","","PT-000378731",2024-03-23 11:21:18,="198956","LOW","3H02C404",,"3H02C404","PICK",false,,false,false,"UNUSED","","Ghost Gray/Ghost Gra",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,1969-12-31 19:00:36,1411735,="7.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284735031-1-000001",="284735031","241296F11803407","241296F11803407",2024-03-23 07:10:54,"RESERVED",2024-03-23 08:33:09,1,"LS00192279",="0000169706","","PT-000379134",2024-03-23 15:52:29,="401851","LOW","3H29C302",,"3H29C302","PICK",false,,false,false,"UNUSED","","550 Flamme",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,142993,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284736301-1-000001",="284736301","232168F11801208","232168F11801208",2024-03-23 08:24:45,"RESERVED",2024-03-23 14:45:16,1,"LS00172852",="0000169782","","PT-000379129",2024-03-23 15:52:05,="342487","LOW","3H05C303",,"3H05C303","PICK",false,,false,false,"UNUSED","","T4104 Rose Dust",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,140667,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284736591-1-000001",="284736591","231799M23603106","231799M23603106",2024-03-23 08:30:50,"RESERVED",2024-03-23 10:57:30,1,"LS00173411",="0000169803","","PT-000378712",2024-03-23 11:11:28,="279220","LOW","3H11B409",,"3H11B409","PICK",false,,false,false,"UNUSED","","GRAVEL/EGRET/EGRET",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,1410649,="8",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284737431-1-000001",="284737431","241232M22500002","241232M22500002",2024-03-23 09:00:53,"RESERVED",2024-03-23 09:02:17,1,"LS00172464",="0000169933","","PT-000379347",2024-03-23 18:03:10,="199108","LOW","3H02C423",,"3H02C423","PICK",false,,false,false,"UNUSED","","111 MILK/MILK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,1411548,="40",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284739401-1-000001",="284739401","231404M69800100","231404M69800100",2024-03-23 10:10:45,"RESERVED",2024-03-23 10:11:21,1,"LS00173163",="0000170381","","PT-000378731",2024-03-23 11:21:18,="276834","LOW","3H09C401",,"3H09C401","PICK",false,,false,false,"UNUSED","","2V320 Baby Blue+Bian",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,1410932,="15",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284740261-1-000001",="284740261","241011M23713712","241011M23713712",2024-03-23 10:30:44,"RESERVED",2024-03-23 11:40:59,1,"LS00175192",="0000170526","","PT-000379134",2024-03-23 15:52:29,="298275","LOW","3H28A307",,"3H28A307","PICK",false,,false,false,"UNUSED","","CHLOROPHYLL/CHLOROPH",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,142689,="13",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284760621-1-000001",="284760621","241751M23704610","241751M23704610",2024-03-23 16:15:42,"RESERVED",2024-03-23 16:16:41,1,"LS00153830",="0000173010","","PT-000379165",2024-03-23 16:12:05,="230648","LOW","3H49B324",,"3H49B324","PICK",false,,false,false,"UNUSED","","carbon / better scar",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,144767,="11",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284742601-1-000001",="284742601","241885F12101608","241885F12101608",2024-03-23 11:25:44,"RESERVED",2024-03-23 16:15:44,1,"LS00172803",="0000170888","","PT-000379135",2024-03-23 15:52:44,="1778","LOW","3H05B302",,"3H05B302","PICK",false,,false,false,"UNUSED","","902 Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,,140672,="9",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284743441-1-000001",="284743441","241140F12203806","241140F12203806",2024-03-23 11:30:55,"RESERVED",2024-03-23 13:59:55,1,"LS00175094",="0000170929","","PT-000379134",2024-03-23 15:52:29,="296916","LOW","3H25B305",,"3H25B305","PICK",false,,false,false,"UNUSED","","2504 Dnud",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,142615,="36",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284744101-1-000001",="284744101","232688M23100204","232688M23100204",2024-03-23 11:50:53,"RESERVED",2024-03-23 13:22:36,1,"LS00154535",="0000171068","","PT-000379074",2024-03-23 14:51:21,="237141","LOW","3H56B315",,"3H56B315","PICK",false,,false,false,"UNUSED","","BLUE",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,145467,="43",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284744781-1-000001",="284744781","241610F12802502","241610F12802502",2024-03-23 12:00:57,"RESERVED",2024-03-23 12:02:03,1,"LS00174759",="0000171126","","PT-000379118",2024-03-23 15:46:59,="293331","LOW","3H23A301",,"3H23A301","PICK",false,,false,false,"UNUSED","","Extra White/Steel",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,142235,="37",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284745981-1-000001",="284745981","241553F04804500","241553F04804500",2024-03-23 12:20:46,"RESERVED",2024-03-23 12:21:24,1,"LS00174489",="0000171200","","PT-000379118",2024-03-23 15:46:59,="291139","LOW","3H21A319",,"3H21A319","PICK",false,,false,false,"UNUSED","","120 Ivory",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,142041,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284746871-1-000001",="284746871","232546M23703505","232546M23703505",2024-03-23 12:30:55,"RESERVED",2024-03-23 13:45:31,1,"LS00173446",="0000171247","","PT-000379118",2024-03-23 15:46:59,="279595","LOW","3H11C320",,"3H11C320","PICK",false,,false,false,"UNUSED","","GREEN",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,141248,="10",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284747111-1-000001",="284747111","241585F12800503","241585F12800503",2024-03-23 12:45:48,"RESERVED",2024-03-23 16:16:45,1,"LS00172947",="0000171325","","PT-000379135",2024-03-23 15:52:44,="364282","LOW","3H08B302",,"3H08B302","PICK",false,,false,false,"UNUSED","","Black | Frost",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,,140715,="6.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284747741-1-000001",="284747741","241126M23604407","241126M23604407",2024-03-23 12:50:46,"RESERVED",2024-03-23 16:34:37,1,"LS00173000",="0000171368","","PT-000379135",2024-03-23 15:52:44,="347370","LOW","3H08C306",,"3H08C306","PICK",false,,false,false,"UNUSED","","9811 BLACK/PEARL/MIL",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,140725,="42.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284748131-1-000001",="284748131","241445F12701009","241445F12701009",2024-03-23 12:50:56,"RESERVED",2024-03-23 12:51:49,1,"LS00174282",="0000171383","","PT-000379118",2024-03-23 15:46:59,="289389","LOW","3H19C302",,"3H19C302","PICK",false,,false,false,"UNUSED","","White/Lucky Green",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,141860,="9.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284748021-1-000001",="284748021","232133M22300302","232133M22300302",2024-03-23 12:55:45,"RESERVED",2024-03-23 12:56:40,1,"LS00174397",="0000171438","","PT-000379118",2024-03-23 15:46:59,="290456","LOW","3H20B323",,"3H20B323","PICK",false,,false,false,"UNUSED","","7547 BLACK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,,142009,="41",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284748181-1-000001",="284748181","241402M23715206","241402M23715206",2024-03-23 12:55:46,"RESERVED",2024-03-23 16:16:50,1,"LS00172947",="0000171440","","PT-000379135",2024-03-23 15:52:44,="7761","LOW","3H08B302",,"3H08B302","PICK",false,,false,false,"UNUSED","","CASTLEROCK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,140715,="10",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284748501-1-000001",="284748501","232607F12400605","232607F12400605",2024-03-23 13:00:45,"RESERVED",2024-03-23 13:01:23,1,"LS00175258",="0000171474","","PT-000379135",2024-03-23 15:52:44,="298991","LOW","3H28B324",,"3H28B324","PICK",false,,false,false,"UNUSED","","BLACKOUT",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,142785,="10",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284748731-1-000001",="284748731","241209F12101005","241209F12101005",2024-03-23 13:00:56,"RESERVED",2024-03-23 13:01:36,1,"LS00174538",="0000171484","","PT-000379129",2024-03-23 15:52:05,="291569","LOW","3H21B320",,"3H21B320","PICK",false,,false,false,"UNUSED","","Tundra",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,142048,="9",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284755111-1-000001",="284755111","241188F12200004","241188F12200004",2024-03-23 14:40:43,"RESERVED",2024-03-23 14:41:31,1,"LS00173848",="0000172408","","PT-000379134",2024-03-23 15:52:29,="284549","LOW","3H16C301",,"3H16C301","PICK",false,,false,false,"UNUSED","","T8013 Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,141495,="37",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284748581-1-000001",="284748581","241161F09701803","241161F09701803",2024-03-23 13:04:44,"RESERVED",2024-03-23 13:05:55,1,"LS00222167",="0000171520","","PT-000379312",2024-03-23 17:42:01,="246117","LOW","3R05A201",,"3R05A201","PICK",false,,false,false,"UNUSED","","Jet Black",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-24 15:00:00,1969-12-31 19:00:36,1516581,"M",false,true,false,"UNUSED",2,"NO","NO","NO"
="2","284748581-2-000002",="284748581","241161F09800103","241161F09800103",2024-03-23 13:04:44,"RESERVED",2024-03-23 17:53:03,1,"LS00182073",="0000171520","","PT-000379312",2024-03-23 17:42:01,="364570","LOW","3R12B202",,"3R12B202","PICK",false,,false,false,"UNUSED","","Jet Black",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-24 15:00:00,1969-12-31 19:00:36,1519592,"M",false,true,false,"UNUSED",2,"NO","NO","NO"
="1","284750031-1-000001",="284750031","232232M23604401","232232M23604401",2024-03-23 13:20:49,"RESERVED",2024-03-23 13:21:30,1,"LS00172500",="0000171662","","PT-000378880",2024-03-23 13:12:10,="199447","LOW","3H03A411",,"3H03A411","PICK",false,,false,false,"UNUSED","","911 BLACK/MILK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,1411409,="39.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284750551-1-000001",="284750551","232168M23702708","232168M23702708",2024-03-23 13:31:00,"RESERVED",2024-03-23 17:52:59,1,"LS00172812",="0000171767","","PT-000379303",2024-03-23 17:33:19,="364634","LOW","3H05B311",,"3H05B311","PICK",false,,false,false,"UNUSED","","961 White",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,140596,="43",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284750891-1-000001",="284750891","241264F12805700","241264F12805700",2024-03-23 13:40:44,"RESERVED",2024-03-23 13:41:30,1,"LS00153623",="0000171851","","PT-000379074",2024-03-23 14:51:21,="228408","LOW","3H48A307",,"3H48A307","PICK",false,,false,false,"UNUSED","","11719 White/Pink",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,144629,="35",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284751181-1-000001",="284751181","241232F11500106","241232F11500106",2024-03-23 13:40:51,"RESERVED",2024-03-23 13:41:45,1,"LS00154586",="0000171860","","PT-000379074",2024-03-23 14:51:21,="237791","LOW","3H56C318",,"3H56C318","PICK",false,,false,false,"UNUSED","","911 Black/Milk/Milk",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,145476,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284751561-1-000001",="284751561","241837F12805417","241837F12805417",2024-03-23 13:40:59,"RESERVED",2024-03-23 13:41:48,1,"LS00172995",="0000171867","","PT-000379118",2024-03-23 15:46:59,="315598","LOW","3H08C301",,"3H08C301","PICK",false,,false,false,"UNUSED","","Ghost Gray/Ghost Gra",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,,140720,"Men US 5.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284751461-1-000001",="284751461","241688M24300004","241688M24300004",2024-03-23 13:45:52,"RESERVED",2024-03-23 13:46:43,1,"LS00154383",="0000171914","","PT-000379074",2024-03-23 14:51:21,="235320","LOW","3H53B306",,"3H53B306","PICK",false,,false,false,"UNUSED","","BLACK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,145331,="43",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284751581-1-000001",="284751581","241264F12802305","241264F12802305",2024-03-23 13:50:45,"RESERVED",2024-03-23 13:51:26,1,"LS00172824",="0000171943","","PT-000379134",2024-03-23 15:52:29,="272930","LOW","3H05B323",,"3H05B323","PICK",false,,false,false,"UNUSED","","10914 White/Ice/Pink",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,140499,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284751761-1-000001",="284751761","241553F04804900","241553F04804900",2024-03-23 13:50:50,"RESERVED",2024-03-23 13:51:25,1,"LS00174339",="0000171950","","PT-000379134",2024-03-23 15:52:29,="289932","LOW","3H20A312",,"3H20A312","PICK",false,,false,false,"UNUSED","","850 Brown",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,141919,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284753481-1-000001",="284753481","231844F12500604","231844F12500604",2024-03-23 14:10:54,"RESERVED",2024-03-23 15:52:30,1,"LS00172520",="0000172162","","PT-000379134",2024-03-23 15:52:29,="269952","LOW","3H03B307",,"3H03B307","PICK",false,,false,false,"UNUSED","","Iris",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,140380,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284599681-1-000001",="284599681","232168M23701000","232168M23701000",2024-03-23 14:30:49,"RESERVED",2024-03-23 14:31:29,1,"LS00173759",="0000172338","","PT-000379134",2024-03-23 15:52:29,="283361","LOW","3H16A308",,"3H16A308","PICK",false,,false,false,"UNUSED","","T3163 Lemon",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,141527,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284754521-1-000001",="284754521","241610M23710404","241610M23710404",2024-03-23 14:30:49,"RESERVED",2024-03-23 14:31:36,1,"LS00172727",="0000172341","","PT-000379129",2024-03-23 15:52:05,="271942","LOW","3H04C322",,"3H04C322","PICK",false,,false,false,"UNUSED","","EXTRA-WHT_PEKIN_POKE",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,140450,="44",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284754731-1-000001",="284754731","232404F12202408","232404F12202408",2024-03-23 14:30:51,"RESERVED",2024-03-23 14:31:31,1,"LS00172953",="0000172347","","PT-000379129",2024-03-23 15:52:05,="274477","LOW","3H08B308",,"3H08B308","PICK",false,,false,false,"UNUSED","","Pink",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,140745,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
